[0]分類,[1]日本語名,[2]ID,[3]反転が可能か,[4]凸,[5]凹,[6]下層に表示,[7]上層に表示,[8]注意書き,[9]同一パーツ同士での吸着を無効化,[10]選択中のパーツでレールを伸ばす機能を無効化,[11]画像ファイル名末尾の数だけ使用数を計上するか
レール,直線,straight,,\2160/191/0,\0/191/180,,,,,,
レール,曲線,curve,,\1527.35065/136.35065/45,\0/769/180,,,,,,
レール,1/2直線,half_straight,,\1080/191/0,\0/191/180,,,,,,
レール,1/4直線 (凹凸),quarter_straight_normal,,\540/191/0,\0/191/180,,,,,,
レール,1/4直線 (凸凸),quarter_straight_plus,,\650/191/0&110/191/180,,,,,,,
レール,1/4直線 (凹凹),quarter_straight_minus,,,\540/191/0&0/191/180,,,,,,
レール,坂,slope,,\4320/191/0,\0/191/180,,,,,,
レール,2倍直線,double_straight,,\4320/191/0,\0/191/180,,,,,,
レール,S字,s_shaped,,\2160/191/0,\0/791/180,,,【S字】横方向の移動量：複線幅(60mm),,,
レール,複線直線,double_track_straight,,\2160/191/0&2160/791/0,\0/191/180&0/791/180,,,,,,
レール,複線曲線,double_track_curve,,\1527.35065/136.35065/45&1951.61472/559.61472/45,\0/770/180&0/1369/180,,,,,,
レール,複線外側曲線,outer_curve,,\1951.61472/134.61472/45,\0/943/180,,,,,,
レール,単複ポイント (凸),single_to_double_a,,\2160/791/0,\0/791/180&0/191/180,,,,,,
レール,単複ポイント (凹),single_to_double_b,,\2160/791/0&2160/191/0,\0/791/180,,,,,,
レール,複線わたりポイント,crossover,,\2160/191/0&2160/791/0,\0/191/180&0/791/180,,,,,,
レール,複線幅広 (凸),widen_a,,\2810/1271/0&110/1271/180&2810/671/0,\110/191/180,,,【複線幅広】 幅が広い側のレール間隔：駅幅 (1/2直線 108mm)\【複線幅広】 幅が狭い側のレール間隔：複線幅 (60mm),,,
レール,複線幅広 (凹),widen_b,,\2700/191/0,\0/1271/180&2700/1271/0&0/671/180,,,【複線幅広】 幅が広い側のレール間隔：駅幅 (1/2直線 108mm)\【複線幅広】 幅が狭い側のレール間隔：複線幅 (60mm),,,
レール,複線ポイント,scissors_crossover,FALSE,\2160/191/0&2160/791/0,\0/191/180&0/791/180,,,,,,
レール,複線ターンアウト(凹),double_track_turn_out_l,,\2700/2270/0&2700/2870/0&2160/110/90&2760/110/90,\0/2269/180&0/2869/180,,,,,,
レール,複線ターンアウト(凸),double_track_turn_out_r,,\2953/2160/0&2953/2760/0,\253/2160/180&253/2760/180&793/0/90&193/0/90,,,,,,
レール,Uターン,u_turn,,,\0/1244/180&0/1844/180,,,,,TRUE,
レール,ターンアウト (凸),turn_out_l,,\2160/770/0,\0/770/180&632.64935/136.35065/135,,,,,,
レール,ターンアウト (凹),turn_out_r,,\2160/770/0&1527.35065/136.35065/45,\0/770/180,,,,,,
レール,ストップレール,stop,FALSE,\2160/191/0,\0/191/180,,,,,,
レール,Y字ポイント (凸),y_shaped_a,,\2270/731/0&110/191/180,\110/1271/180,,,【Y字ポイント】レール間隔：駅幅 (1/2直線 108mm),,,
レール,Y字ポイント(凹),y_shaped_b,,\2160/1271/0,\0/731/180&2160/191/0,,,【Y字ポイント】レール間隔：駅幅 (1/2直線 108mm),,,
レール,つなげレール,connect,,\2270/191/0&110/1271/180,\110/191/180&2270/1271/0,,,【つなげレール】レール間隔：駅幅 (1/2直線 108mm),,,
レール,8の字 (凸),8_shaped_l,,\1662/768.5/0&134.64935/136.35065/135,\134.64935/1400.64935/-135,,,,,,
レール,8の字 (凹),8_shaped_r,,\1527.35065/1400.64935/-45,\0/768.5/180&1527.35065/136.35065/45,,,,,,
レール,2倍曲線,double_curve,,\2162/110/90,\0/2271/180,,,,,,
レール,高架直線,elevated_straight,,\2160/296/0,\0/296/180,,,,,,
レール,高架曲線,elevated_curve,,\1527.35065/136.35065/45,\0/769/180,,,,,,
レール,外側高架曲線,outer_elevated_curve,,\1951.61472/134.61472/45,\0/943/180,,,,,,
レール,駅プレート(凸),station_plate_a,,\2160/896/0&2160/296/0,\0/296/180&0/1376/180,,,【駅プレート】⚠️Y字ポイントと似ていますが、単線部分の位置がY字ポイントとは6mmの差があることに注意してください！\【駅プレート】幅が広い側のレール間隔：駅幅 (1/2直線 108mm),,,
